skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,data_wyjscia,cena_wyjscia,powod_wyjscia,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_pozycji_proc,wynik_cenowy_proc_kapitalu,przed_startem
premia_coinbase,3,BTCUSDT,long,2026-09-17,76385.9,2026-09-24,84370.0,rotacja,3.0,0.1453091235677968,0.41536874180550704,6.035686782921671,2.0118955943072234,10.452321698114453,0.630869399241548,True
trend,3,1000PEPEUSDT,long,2026-09-17,0.0036109,2026-09-24,0.0044214,rotacja,2.0,0.003073687272577924,0.693784942241152,0.21324779468728391,0.10662389734364196,22.445927608075557,0.04786544562132534,True
trend,3,ACEUSDT,short,2026-09-17,0.15276,2026-09-24,0.18761,rotacja,2.0,-0.0009257272949932301,0.693784942241152,0.0642255657887936,0.0321127828943968,-22.81356376014663,-0.014652140401541346,True
trend,3,ADAUSDT,long,2026-09-17,0.2025,2026-09-24,0.2476,rotacja,2.0,0.003871234654860379,0.693784942241152,0.2685804311424254,0.1342902155712127,22.271604938271583,0.05981717256554753,True
trend,3,AKEUSDT,long,2026-09-17,0.021287,2026-09-24,0.035753,rotacja,2.0,0.0005094910506584521,0.693784942241152,0.0353477219153458,0.0176738609576729,67.9569690421384,0.02402124043911271,True
trend,3,BNBUSDT,long,2026-09-17,738.89,2026-09-24,777.14,rotacja,2.0,0.00702449904144654,0.693784942241152,0.4873491661743015,0.24367458308715076,5.176683944836169,0.025228526040638008,True
trend,3,BTCUSDT,long,2026-09-17,76385.9,2026-09-24,84370.0,rotacja,2.0,0.00726545617838984,0.693784942241152,0.5040664095079815,0.25203320475399077,10.452321698114453,0.05268664269390921,True
trend,3,BTWUSDT,long,2026-09-17,0.72,2026-09-24,0.9533,rotacja,2.0,0.0009839631324683113,0.693784942241152,0.06826588050269503,0.03413294025134751,32.40277777777778,0.022120041557331598,True
trend,3,CYSUSDT,short,2026-09-17,0.1385,2026-09-24,0.1844,rotacja,2.0,-0.0008896432510927478,0.693784942241152,0.061722109157461263,0.030861054578730632,-33.14079422382672,-0.020455197186479944,True
trend,3,DOGEUSDT,long,2026-09-17,0.08168,2026-09-24,0.09573,rotacja,2.0,0.004784035156990259,0.693784942241152,0.3319091555072127,0.16595457775360636,17.20127326150831,0.05709260081876022,True
trend,3,ENAUSDT,long,2026-09-17,0.15459,2026-09-24,0.22455,rotacja,2.0,0.0023905012703492124,0.693784942241152,0.16584937857766288,0.08292468928883144,45.25519115078593,0.07505545329771196,True
trend,3,ETHUSDT,long,2026-09-17,2446.32,2026-09-24,2686.65,rotacja,2.0,0.004954505318047807,0.693784942241152,0.3437361185915278,0.1718680592957639,9.824144020406166,0.03376913134058583,True
trend,3,HYPEUSDT,long,2026-09-17,85.131,2026-09-24,92.063,rotacja,2.0,0.00333121008883373,0.693784942241152,0.23111433990746522,0.11555716995373261,8.142744711092309,0.018819050689391027,True
trend,3,LINKUSDT,long,2026-09-17,11.382,2026-09-24,13.215,rotacja,2.0,0.004373043556011019,0.693784942241152,0.3033951770925147,0.15169758854625734,16.10437532946758,0.04885989805048141,True
trend,3,PUMPUSDT,long,2026-09-17,0.004085,2026-09-24,0.003848,rotacja,2.0,0.0020978554441728396,0.693784942241152,0.14554605181657396,0.07277302590828698,-5.801713586291313,-0.008444165062552765,True
trend,3,SOLUSDT,long,2026-09-17,101.59,2026-09-24,116.99,rotacja,2.0,0.004924656763063816,0.693784942241152,0.3416652707919728,0.1708326353959864,15.158972339797216,0.05179294389404841,True
trend,3,SUIUSDT,long,2026-09-17,0.7411,2026-09-24,1.0137,rotacja,2.0,0.003981410905730603,0.693784942241152,0.27622429352705985,0.13811214676352992,36.78316016731886,0.10160402430910341,True
trend,3,TRUMPUSDT,long,2026-09-17,1.952,2026-09-24,2.075,rotacja,2.0,0.002445075292010764,0.693784942241152,0.1696356420242956,0.0848178210121478,6.301229508196737,0.010689131131653899,True
trend,3,TUTUSDT,short,2026-09-17,0.02062,2026-09-24,0.02716,rotacja,2.0,-0.0006523967396109628,0.693784942241152,0.045262303430930774,0.022631151715465387,-31.71677982541223,-0.014355745123098321,True
trend,3,XRPUSDT,long,2026-09-17,1.2954,2026-09-24,1.534,rotacja,2.0,0.004150630413780874,0.693784942241152,0.2879644881889332,0.1439822440944666,18.41902115176779,0.053040239989099465,True
trend,3,ZECUSDT,long,2026-09-17,1466.21,2026-09-24,1545.73,rotacja,2.0,0.0019531718564872154,0.693784942241152,0.13550812236400264,0.06775406118200132,5.423506864637395,0.007349292318552925,True
premia_coinbase,4,BTCUSDT,long,2026-09-18,80863.0,2026-09-25,84056.0,rotacja,3.0,0.13751474875024092,0.41536874180550704,5.711932816808799,1.9039776056029332,3.948653896095866,0.225544457713299,True
trend,4,1000PEPEUSDT,short,2026-09-18,0.0038207,2026-09-25,0.0044875,rotacja,2.0,-0.003063005523354094,0.693784942241152,0.21250671101045496,0.10625335550522748,-17.452299316879127,-0.037087307273999934,True
trend,4,ACEUSDT,short,2026-09-18,0.15787,2026-09-25,0.1944,rotacja,2.0,-0.0009330794235392619,0.693784942241152,0.06473564539665942,0.03236782269832971,-23.1392918223855,-0.014979369901437688,True
