as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,premia_coinbase,0,BTCUSDT,long,2026-09-21,86578.7,84056.0,2026-09-28,3.0,0.13065149301346057,0.3426151857028053,4.476318554115556,1.4921061847051853,-2.9137651639491002,True
2026-09-25,premia_coinbase,1,BTCUSDT,long,2026-09-22,86158.6,84056.0,2026-09-29,3.0,0.13168685430898652,0.3426151857028053,4.511791604369169,1.503930534789723,-2.4403832002841352,True
2026-09-25,premia_coinbase,2,BTCUSDT,long,2026-09-23,84355.1,84056.0,2026-09-30,3.0,0.1318498227418023,0.3426151857028053,4.517375150356456,1.5057917167854853,-0.3545725154732837,False
2026-09-25,premia_coinbase,3,BTCUSDT,long,2026-09-24,84370.0,84056.0,2026-10-01,3.0,0.13294436083343145,0.3426151857028053,4.554875687508687,1.518291895836229,-0.37217020267867884,False
2026-09-25,premia_coinbase,4,BTCUSDT,long,2026-09-25,84056.0,84056.0,2026-10-02,3.0,0.1340174775130761,0.3426151857028053,4.591642294556411,1.5305474315188035,0.0,False
2026-09-25,premia_coinbase,5,BTCUSDT,long,2026-09-19,81225.6,84056.0,2026-09-26,3.0,0.13860731471207646,0.41536874180550704,5.757314591699514,1.919104863899838,3.4846156876649603,True
2026-09-25,premia_coinbase,6,BTCUSDT,long,2026-09-20,81143.9,84056.0,2026-09-27,3.0,0.13975551727839547,0.3426151857028053,4.788236250532909,1.5960787501776361,3.5888095100186312,True
2026-09-25,trend,0,1000PEPEUSDT,long,2026-09-21,0.0047693,0.0044875,2026-09-28,2.0,0.002730701200433125,0.5699873952881126,0.15564652645449992,0.07782326322724996,-5.9086239070723074,True
2026-09-25,trend,0,ACEUSDT,short,2026-09-21,0.17363,0.1944,2026-09-28,2.0,-0.000953470615923913,0.5699873952881126,0.054346623285422356,0.027173311642711178,-11.962218510626045,True
2026-09-25,trend,0,ADAUSDT,long,2026-09-21,0.2451,0.2586,2026-09-28,2.0,0.003647844296422822,0.5699873952881126,0.2079225268934642,0.1039612634467321,5.507955936352493,True
2026-09-25,trend,0,AKEUSDT,long,2026-09-21,0.057786,0.032779,2026-09-28,2.0,0.0004616241682955238,0.5699873952881126,0.026311995728880697,0.013155997864440348,-43.2751877617416,True
