as_of,phase,formed,today,symbol,sign,weight
2026-09-23,0,2026-09-21,False,AKEUSDT,1,0.014285714285714287
2026-09-23,0,2026-09-21,False,BTWUSDT,1,0.014285714285714287
2026-09-23,0,2026-09-21,False,ENAUSDT,1,0.014285714285714287
2026-09-23,0,2026-09-21,False,SUIUSDT,1,0.014285714285714287
2026-09-23,0,2026-09-21,False,ZECUSDT,1,0.014285714285714287
2026-09-23,0,2026-09-21,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,0,2026-09-21,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,0,2026-09-21,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-23,0,2026-09-21,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-23,0,2026-09-21,False,TUTUSDT,-1,-0.014285714285714287
2026-09-23,1,2026-09-22,False,AKEUSDT,1,0.014285714285714287
2026-09-23,1,2026-09-22,False,BTWUSDT,1,0.014285714285714287
2026-09-23,1,2026-09-22,False,ENAUSDT,1,0.014285714285714287
2026-09-23,1,2026-09-22,False,SUIUSDT,1,0.014285714285714287
2026-09-23,1,2026-09-22,False,ZECUSDT,1,0.014285714285714287
2026-09-23,1,2026-09-22,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,1,2026-09-22,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,1,2026-09-22,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-23,1,2026-09-22,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-23,1,2026-09-22,False,TUTUSDT,-1,-0.014285714285714287
2026-09-23,2,2026-09-23,True,AKEUSDT,1,0.014285714285714287
2026-09-23,2,2026-09-23,True,BTWUSDT,1,0.014285714285714287
2026-09-23,2,2026-09-23,True,ENAUSDT,1,0.014285714285714287
2026-09-23,2,2026-09-23,True,SUIUSDT,1,0.014285714285714287
2026-09-23,2,2026-09-23,True,ZECUSDT,1,0.014285714285714287
2026-09-23,2,2026-09-23,True,ACEUSDT,-1,-0.014285714285714287
2026-09-23,2,2026-09-23,True,CYSUSDT,-1,-0.014285714285714287
2026-09-23,2,2026-09-23,True,PUMPUSDT,-1,-0.014285714285714287
2026-09-23,2,2026-09-23,True,TRUMPUSDT,-1,-0.014285714285714287
2026-09-23,2,2026-09-23,True,TUTUSDT,-1,-0.014285714285714287
2026-09-23,3,2026-09-17,False,AKEUSDT,1,0.014285714285714287
2026-09-23,3,2026-09-17,False,BTWUSDT,1,0.014285714285714287
2026-09-23,3,2026-09-17,False,ENAUSDT,1,0.014285714285714287
2026-09-23,3,2026-09-17,False,TRUMPUSDT,1,0.014285714285714287
2026-09-23,3,2026-09-17,False,ZECUSDT,1,0.014285714285714287
2026-09-23,3,2026-09-17,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,3,2026-09-17,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,3,2026-09-17,False,DOGEUSDT,-1,-0.014285714285714287
2026-09-23,3,2026-09-17,False,SUIUSDT,-1,-0.014285714285714287
2026-09-23,3,2026-09-17,False,TUTUSDT,-1,-0.014285714285714287
2026-09-23,4,2026-09-18,False,AKEUSDT,1,0.014285714285714287
2026-09-23,4,2026-09-18,False,BTWUSDT,1,0.014285714285714287
2026-09-23,4,2026-09-18,False,HYPEUSDT,1,0.014285714285714287
2026-09-23,4,2026-09-18,False,SOLUSDT,1,0.014285714285714287
2026-09-23,4,2026-09-18,False,ZECUSDT,1,0.014285714285714287
2026-09-23,4,2026-09-18,False,1000PEPEUSDT,-1,-0.014285714285714287
2026-09-23,4,2026-09-18,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,4,2026-09-18,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,4,2026-09-18,False,DOGEUSDT,-1,-0.014285714285714287
2026-09-23,4,2026-09-18,False,TUTUSDT,-1,-0.014285714285714287
2026-09-23,5,2026-09-19,False,AKEUSDT,1,0.014285714285714287
2026-09-23,5,2026-09-19,False,BTWUSDT,1,0.014285714285714287
2026-09-23,5,2026-09-19,False,ENAUSDT,1,0.014285714285714287
2026-09-23,5,2026-09-19,False,SOLUSDT,1,0.014285714285714287
2026-09-23,5,2026-09-19,False,ZECUSDT,1,0.014285714285714287
2026-09-23,5,2026-09-19,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,5,2026-09-19,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,5,2026-09-19,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-23,5,2026-09-19,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-23,5,2026-09-19,False,TUTUSDT,-1,-0.014285714285714287
2026-09-23,6,2026-09-20,False,AKEUSDT,1,0.014285714285714287
2026-09-23,6,2026-09-20,False,BTWUSDT,1,0.014285714285714287
2026-09-23,6,2026-09-20,False,ENAUSDT,1,0.014285714285714287
2026-09-23,6,2026-09-20,False,SOLUSDT,1,0.014285714285714287
2026-09-23,6,2026-09-20,False,ZECUSDT,1,0.014285714285714287
2026-09-23,6,2026-09-20,False,ACEUSDT,-1,-0.014285714285714287
2026-09-23,6,2026-09-20,False,CYSUSDT,-1,-0.014285714285714287
2026-09-23,6,2026-09-20,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-23,6,2026-09-20,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-23,6,2026-09-20,False,TUTUSDT,-1,-0.014285714285714287
2026-09-24,0,2026-09-21,False,AKEUSDT,1,0.014285714285714287
2026-09-24,0,2026-09-21,False,BTWUSDT,1,0.014285714285714287
2026-09-24,0,2026-09-21,False,ENAUSDT,1,0.014285714285714287
2026-09-24,0,2026-09-21,False,SUIUSDT,1,0.014285714285714287
2026-09-24,0,2026-09-21,False,ZECUSDT,1,0.014285714285714287
2026-09-24,0,2026-09-21,False,ACEUSDT,-1,-0.014285714285714287
2026-09-24,0,2026-09-21,False,CYSUSDT,-1,-0.014285714285714287
2026-09-24,0,2026-09-21,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-24,0,2026-09-21,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-24,0,2026-09-21,False,TUTUSDT,-1,-0.014285714285714287
2026-09-24,1,2026-09-22,False,AKEUSDT,1,0.014285714285714287
2026-09-24,1,2026-09-22,False,BTWUSDT,1,0.014285714285714287
2026-09-24,1,2026-09-22,False,ENAUSDT,1,0.014285714285714287
2026-09-24,1,2026-09-22,False,SUIUSDT,1,0.014285714285714287
2026-09-24,1,2026-09-22,False,ZECUSDT,1,0.014285714285714287
2026-09-24,1,2026-09-22,False,ACEUSDT,-1,-0.014285714285714287
2026-09-24,1,2026-09-22,False,CYSUSDT,-1,-0.014285714285714287
2026-09-24,1,2026-09-22,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-24,1,2026-09-22,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-24,1,2026-09-22,False,TUTUSDT,-1,-0.014285714285714287
2026-09-24,2,2026-09-23,False,AKEUSDT,1,0.014285714285714287
2026-09-24,2,2026-09-23,False,BTWUSDT,1,0.014285714285714287
2026-09-24,2,2026-09-23,False,ENAUSDT,1,0.014285714285714287
2026-09-24,2,2026-09-23,False,SUIUSDT,1,0.014285714285714287
2026-09-24,2,2026-09-23,False,ZECUSDT,1,0.014285714285714287
2026-09-24,2,2026-09-23,False,ACEUSDT,-1,-0.014285714285714287
2026-09-24,2,2026-09-23,False,CYSUSDT,-1,-0.014285714285714287
2026-09-24,2,2026-09-23,False,PUMPUSDT,-1,-0.014285714285714287
2026-09-24,2,2026-09-23,False,TRUMPUSDT,-1,-0.014285714285714287
2026-09-24,2,2026-09-23,False,TUTUSDT,-1,-0.014285714285714287
2026-09-24,3,2026-09-24,True,AKEUSDT,1,0.014285714285714287
2026-09-24,3,2026-09-24,True,BTWUSDT,1,0.014285714285714287
2026-09-24,3,2026-09-24,True,ENAUSDT,1,0.014285714285714287
2026-09-24,3,2026-09-24,True,SUIUSDT,1,0.014285714285714287
2026-09-24,3,2026-09-24,True,ZECUSDT,1,0.014285714285714287
2026-09-24,3,2026-09-24,True,ACEUSDT,-1,-0.014285714285714287
2026-09-24,3,2026-09-24,True,CYSUSDT,-1,-0.014285714285714287
2026-09-24,3,2026-09-24,True,PUMPUSDT,-1,-0.014285714285714287
2026-09-24,3,2026-09-24,True,TRUMPUSDT,-1,-0.014285714285714287
2026-09-24,3,2026-09-24,True,TUTUSDT,-1,-0.014285714285714287
